TIMESTEP CONTACTS
120102	26781
c_cforce[1] c_cforce[2] c_cforce[3] 
7.24344e-06 -3.74023e-06 -2.70408e-07 
0 0 0 
-9.64528e-06 -1.93119e-06 7.92672e-08 
0 0 0 
-1.2174e-07 1.08127e-07 -2.23042e-06 
0 0 0 
0 0 0 
-5.35876e-06 3.96683e-07 -2.50962e-07 
3.15606e-06 -3.59208e-06 -1.03378e-07 
1.93538e-06 3.19753e-06 -3.14916e-08 
0 0 0 
2.39036e-07 -2.61823e-08 4.552e-07 
0 0 0 
-5.72661e-06 -2.18349e-08 2.29325e-09 
2.94328e-06 -5.22843e-06 1.77029e-07 
-3.17264e-06 -7.19738e-06 -3.20081e-06 
-1.98546e-08 9.96026e-10 3.28348e-08 
0 0 0 
0 0 0 
-6.34638e-06 -1.10597e-06 8.43755e-08 
0 0 0 
0 0 0 
4.05327e-07 1.15378e-07 6.81567e-07 
3.11452e-07 1.22602e-08 -6.27947e-07 
-6.23246e-06 -1.98019e-06 2.90486e-11 
0 0 0 
0 0 0 
0 0 0 
9.87951e-08 3.00646e-08 2.03364e-07 
0 0 0 
7.58892e-06 -7.17655e-06 -1.78832e-06 
-4.46531e-06 -2.34887e-05 2.1638e-07 
0 0 0 
2.1347e-06 9.12094e-07 -3.98608e-06 
6.39419e-09 2.60942e-09 7.51064e-09 
0 0 0 
-6.33802e-06 5.15212e-06 -1.46893e-07 
0 0 0 
5.19819e-06 -4.97003e-06 9.98663e-08 
-1.85747e-06 -3.53181e-06 -3.52055e-09 
1.15023e-07 5.54846e-08 1.43767e-07 
0 0 0 
0 0 0 
0 0 0 
-3.98535e-07 -7.5117e-07 2.63709e-08 
0 0 0 
0 0 0 
0 0 0 
-1.91226e-08 3.3103e-08 -3.43189e-07 
-2.00214e-06 3.0336e-07 2.76945e-08 
2.09755e-06 -1.84063e-06 -8.0667e-08 
0 0 0 
0 0 0 
-5.25001e-07 6.37115e-07 -1.41614e-06 
0 0 0 
0 0 0 
0 0 0 
8.29045e-07 -2.55379e-06 -5.54302e-08 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-7.30474e-06 -3.0179e-06 -9.71349e-06 
0 0 0 
0 0 0 
0 0 0 
-1.13456e-06 -1.90575e-06 2.05633e-08 
0 0 0 
0 0 0 
-6.42785e-08 -3.07284e-07 -5.3781e-07 
-7.44503e-07 1.45321e-06 4.26134e-08 
0 0 0 
8.00997e-07 -1.3536e-06 -2.09726e-08 
-1.85767e-08 -3.28581e-08 1.30468e-09 
-8.45841e-09 -6.66575e-08 6.46849e-08 
