TIMESTEP CONTACTS
120102	26781
c_cforce[4] c_cforce[5] c_cforce[6] 
7.19277e-06 -3.83566e-06 -2.64328e-07 
-0 0 0 
-9.61369e-06 -2.07776e-06 1.2226e-08 
0 0 0 
-1.84195e-07 7.26037e-08 -2.22641e-06 
0 0 0 
-0 0 0 
-5.36026e-06 4.07326e-07 -1.83501e-07 
3.07337e-06 -3.66216e-06 -3.85426e-08 
2.02566e-06 3.13869e-06 -6.09742e-08 
-0 0 0 
2.17194e-07 -1.76252e-08 4.6571e-07 
-0 0 0 
-5.72243e-06 -1.65877e-07 -5.58114e-09 
2.88295e-06 -5.25467e-06 2.97999e-07 
-3.22168e-06 -7.13698e-06 -3.28396e-06 
-2.13666e-08 1.54411e-09 3.17919e-08 
0 0 0 
-0 0 0 
-6.36688e-06 -9.68864e-07 1.06154e-07 
-0 0 0 
0 0 -0 
4.00942e-07 1.17677e-07 6.83743e-07 
3.25684e-07 1.86284e-08 -6.20283e-07 
-6.18668e-06 -2.11403e-06 -1.80466e-08 
-0 0 0 
0 0 0 
-0 -0 0 
1.07229e-07 3.27038e-08 1.9837e-07 
-0 0 0 
7.66108e-06 -7.05679e-06 -1.93909e-06 
-4.68316e-06 -2.34442e-05 2.91339e-07 
0 0 -0 
2.21673e-06 8.36243e-07 -3.95614e-06 
5.98246e-09 2.67728e-09 7.80302e-09 
-0 0 0 
-6.41166e-06 5.05938e-06 -1.22684e-07 
0 0 0 
5.13546e-06 -5.03352e-06 1.21391e-07 
-1.85954e-06 -3.53046e-06 -3.20077e-08 
1.10344e-07 4.91894e-08 1.49299e-07 
0 -0 0 
-0 0 0 
-0 0 0 
-4.30558e-07 -7.32507e-07 5.62126e-09 
0 -0 0 
-0 0 0 
0 0 0 
-2.56659e-08 1.7169e-08 -3.43497e-07 
-1.99228e-06 3.55679e-07 4.88816e-08 
2.1619e-06 -1.76167e-06 -4.49047e-11 
0 0 -0 
-0 0 0 
-5.95373e-07 5.97378e-07 -1.40319e-06 
-0 -0 0 
-0 0 0 
0 0 0 
8.69911e-07 -2.53989e-06 -4.71897e-09 
0 0 0 
0 0 -0 
-0 -0 0 
0 -0 0 
-7.40915e-06 -2.91703e-06 -9.66389e-06 
-0 0 0 
0 -0 0 
-0 0 -0 
-1.12877e-06 -1.90774e-06 -4.31047e-08 
-0 -0 0 
0 -0 0 
-7.24739e-08 -2.80125e-07 -5.5055e-07 
-7.39114e-07 1.45265e-06 9.37759e-08 
0 -0 -0 
7.91968e-07 -1.35831e-06 1.88583e-08 
-2.01224e-08 -3.18601e-08 1.71017e-09 
-8.81882e-09 -6.32378e-08 6.78264e-08 
-0 -0 0 
0 -0 0 
-0 0 0 
0 0 0 
0 0 0 
2.82607e-06 -4.68331e-08 1.44994e-06 
-0 -0 0 
1.32829e-06 -4.4555e-07 -1.96107e-06 
0 0 0 
0 -0 0 
-1.18085e-06 4.16085e-06 -1.90978e-06 
0 -0 0 
2.50503e-06 -4.01179e-06 1.20531e-07 
0 0 0 
-7.9542e-07 -4.8883e-07 -1.13328e-08 
4.27336e-07 1.31841e-07 -1.08397e-06 
-1.07418e-06 8.06503e-08 -1.41508e-06 
-0 0 0 
-2.06697e-06 -7.51852e-07 9.20715e-07 
-0 -0 0 
0 -0 0 
1.05441e-07 -5.24949e-07 3.27099e-07 
-0 0 0 
-0 0 0 
1.62866e-06 4.24365e-07 -3.68903e-06 
-9.03791e-07 -2.12742e-06 -9.99695e-07 
0 -0 0 
-0 0 0 
-4.87375e-07 -7.6123e-07 -6.88113e-07 
-1.55695e-06 -1.86856e-09 -2.64628e-07 
-0 0 -0 
0 0 -0 
0 -0 0 
-0 0 0 
-0 -0 0 
0 -0 0 
-4.3934e-06 5.27854e-06 3.45782e-06 
1.40676e-07 -8.55215e-08 1.25417e-07 
-4.71992e-07 -1.89274e-07 3.98137e-07 
0 0 -0 
1.07391e-05 1.83338e-06 -1.90175e-06 
-0 -0 0 
-0 -0 0 
2.20597e-07 -9.25369e-07 5.72525e-07 
0 -0 0 
-0 0 0 
0 0 0 
-0 0 0 
-6.66591e-06 -6.38376e-06 -3.86095e-06 
1.08931e-06 3.70831e-07 -2.31455e-07 
-4.69237e-07 -2.72198e-06 4.85111e-07 
-0 -0 0 
0 -0 0 
-0 -0 0 
9.085e-07 3.16094e-07 1.33632e-06 
-9.3571e-09 4.2307e-09 -8.22817e-12 
1.02323e-05 -8.9804e-06 -2.99365e-07 
-1.1214e-07 -4.45053e-06 -3.85446e-06 
-1.33902e-05 -1.01832e-05 -6.32684e-09 
0 0 0 
0 -0 0 
-0 -0 0 
2.77883e-07 2.10504e-07 5.05088e-09 
-0 0 -0 
2.72986e-08 1.64523e-08 -4.06681e-08 
-3.22003e-07 -2.17914e-07 -7.06356e-07 
1.88887e-05 -8.2582e-06 3.08408e-07 
-0 0 0 
-7.34093e-06 -7.43222e-06 3.39937e-08 
7.35035e-07 6.1495e-07 -1.55237e-06 
6.15137e-07 5.23399e-07 1.41761e-06 
-0 0 0 
3.52023e-06 -4.85859e-06 -1.37217e-07 
0 0 0 
2.97325e-07 5.83916e-07 3.34995e-09 
8.72905e-07 -1.17557e-06 -2.7787e-06 
0 0 0 
0 -0 0 
2.15086e-06 -4.09096e-06 -5.04848e-09 
0 0 -0 
0 0 -0 
4.47861e-07 -6.31639e-07 1.25179e-06 
3.65324e-07 -5.87737e-07 -1.19759e-06 
0 0 0 
0 0 -0 
3.93183e-06 -3.4828e-06 1.05612e-07 
-2.68881e-06 -4.87198e-06 1.25565e-09 
-3.54754e-07 2.36617e-06 -2.80107e-06 
-6.83243e-07 3.97964e-07 1.15873e-06 
-0 -0 0 
0 0 0 
0 0 0 
-1.32528e-06 3.93314e-07 -4.53589e-08 
-0 0 0 
-6.13503e-08 -8.56357e-07 7.4131e-10 
0 0 0 
1.53604e-06 4.26775e-07 -1.90465e-06 
0 0 0 
0 -0 0 
-0 0 0 
0 -0 -0 
-0 0 0 
-1.68435e-06 -2.86741e-06 6.87004e-08 
-0 -0 0 
3.39114e-08 -1.26699e-08 4.82578e-08 
0 0 0 
1.50309e-06 -6.52686e-08 1.74245e-06 
0 -0 0 
-0 0 0 
-2.93452e-06 -5.55014e-06 -2.41154e-07 
0 -0 0 
4.31377e-06 1.57015e-06 -7.27435e-06 
-0 0 0 
0 -0 -0 
-0 0 -0 
0 0 -0 
-0 -0 0 
3.05717e-07 -5.3408e-07 5.11963e-08 
0 -0 0 
-0 -0 0 
-9.5464e-07 -3.39395e-07 1.57037e-06 
2.03601e-06 7.0056e-07 2.21645e-07 
0 -0 0 
-0 0 0 
0 0 0 
-0 0 0 
0 -0 -0 
-9.74606e-07 -7.57952e-07 6.17039e-08 
-0 0 -0 
0 0 0 
6.82335e-07 1.4754e-06 -1.9858e-06 
-3.53347e-07 -1.22094e-06 -1.65333e-06 
1.00259e-05 -1.14399e-05 7.25975e-07 
-2.32485e-07 -2.36978e-08 -1.86332e-07 
0 0 -0 
0 0 -0 
0 -0 0 
-0 0 0 
0 0 0 
1.23528e-05 -1.02106e-05 -1.60807e-06 
-3.73209e-06 -2.36258e-06 -1.16673e-07 
0 0 0 
-0 -0 0 
0 -0 0 
0 0 0 
0 -0 -0 
8.87224e-08 2.45136e-07 -2.2718e-07 
-0 0 -0 
-0 -0 0 
2.78972e-07 -8.19589e-08 -1.23478e-07 
8.12223e-07 -4.63352e-06 -1.25201e-06 
9.37366e-08 -2.18186e-07 -1.24236e-06 
-1.66261e-06 8.06031e-10 -7.40445e-07 
0 0 0 
9.30823e-06 -1.47767e-05 -8.21424e-08 
-4.26521e-06 -3.2268e-06 -2.28155e-06 
0 0 0 
0 -0 0 
0 0 0 
0 -0 0 
1.6458e-05 -9.45016e-06 7.76737e-08 
-0 0 0 
-6.63578e-06 -4.8798e-06 -1.576e-07 
-0 0 0 
0 -0 0 
0 0 0 
3.28276e-06 -8.31174e-07 -1.37016e-06 
-0 0 -0 
-6.11066e-06 -7.75067e-06 4.2261e-06 
-0 -0 0 
-3.42847e-06 3.84144e-06 -2.96664e-06 
1.96971e-06 1.31746e-06 -2.0732e-06 
9.37051e-08 1.22371e-07 2.3822e-07 
0 0 0 
-0 0 0 
2.54902e-06 -7.07218e-06 9.43154e-08 
0 0 0 
-0 -0 0 
-0 0 0 
-3.48999e-06 -4.03825e-06 -8.05577e-06 
-8.18974e-06 2.37035e-07 3.01244e-07 
9.12529e-07 -2.18479e-06 1.15038e-07 
-8.9351e-06 -1.13353e-05 -6.4361e-06 
-3.55096e-07 8.04833e-07 -1.4453e-06 
0 -0 0 
-0 0 0 
-3.16152e-06 5.08735e-06 -1.10363e-07 
-4.51356e-06 -1.56908e-07 -5.52678e-08 
1.65919e-06 -2.92973e-06 -1.74244e-06 
-1.75279e-06 -3.36208e-06 -4.7222e-08 
-0 -0 0 
-7.28893e-07 1.46213e-06 -3.14183e-06 
0 0 0 
1.37233e-06 2.57088e-06 -1.7981e-08 
0 0 0 
-0 -0 0 
1.09583e-07 -1.59263e-07 3.56176e-07 
-0 0 0 
0 0 0 
-3.55364e-06 2.70798e-06 -1.15386e-07 
2.58873e-07 -4.20892e-07 -1.84674e-10 
0 0 0 
1.62752e-07 2.3027e-07 2.96097e-07 
0 0 0 
-0 -0 0 
0 -0 0 
-0 0 0 
-4.09431e-06 -1.51941e-06 1.65471e-07 
-0 0 0 
0 0 -0 
-0 -0 0 
0 -0 0 
3.05655e-08 -1.25861e-08 -5.19774e-08 
-2.11476e-06 -6.51424e-07 -3.21522e-06 
-3.56491e-06 2.33689e-06 -3.77846e-06 
0 -0 0 
1.93048e-06 1.06752e-06 5.62755e-08 
4.93942e-07 -6.45516e-07 -3.05521e-08 
-1.40909e-06 -4.50993e-06 -5.68741e-06 
0 0 0 
-1.67356e-06 -7.65852e-07 3.65096e-06 
-5.79222e-06 -9.93196e-08 4.85901e-06 
0 0 -0 
-0 0 0 
-0 -0 0 
5.46464e-06 5.10326e-06 -7.98313e-06 
-0 -0 0 
0 -0 0 
-0 0 0 
-3.22021e-06 -2.95057e-06 -1.10097e-06 
4.45998e-07 -9.89043e-08 7.76503e-07 
-0 0 0 
0 -0 0 
1.68561e-06 -2.91149e-06 -4.30329e-08 
-8.63763e-06 1.7267e-07 -2.1898e-07 
-6.43706e-08 -1.08222e-07 -2.69975e-09 
0 -0 0 
-0 0 0 
-4.84946e-07 1.97618e-07 -8.62751e-07 
-2.78164e-06 1.51635e-08 -2.37921e-08 
-0 0 0 
2.68543e-06 -4.58631e-07 -2.86331e-06 
2.29089e-06 -4.25756e-06 -5.71557e-07 
1.50768e-06 2.52321e-06 -3.68411e-08 
-9.72936e-08 4.99474e-08 -1.86158e-07 
0 0 0 
2.88102e-06 -5.33737e-06 2.15549e-08 
-1.6518e-05 -8.97094e-07 -7.86365e-07 
0 0 -0 
1.04359e-06 3.45627e-07 -1.63211e-06 
8.06255e-07 2.75754e-07 1.7504e-06 
-0 0 0 
-7.08417e-06 -3.13581e-07 1.49482e-07 
5.02459e-06 -8.71543e-06 2.13676e-07 
2.19368e-06 3.9952e-06 -9.96438e-08 
-0 -0 0 
-0 -0 0 
0 -0 0 
-0 0 0 
4.33369e-08 1.29437e-08 8.00827e-08 
0 0 0 
-2.91736e-07 -1.17589e-06 -1.08354e-06 
3.66335e-06 -6.93703e-06 5.69172e-07 
-6.88159e-06 -4.72988e-06 6.17194e-07 
0 0 -0 
