TIMESTEP CONTACTS
120102	26781
c_cforce[7] c_cforce[8] c_cforce[9] 
5.06648e-08 9.54276e-08 -6.07988e-09 
0 0 0 
-3.15922e-08 1.4657e-07 6.70412e-08 
0 0 0 
6.24549e-08 3.5523e-08 -4.00858e-09 
0 0 0 
0 0 0 
1.50071e-09 -1.06428e-08 -6.74616e-08 
8.26979e-08 7.00843e-08 -6.48359e-08 
-9.02825e-08 5.88395e-08 2.94825e-08 
0 0 0 
2.18423e-08 -8.55709e-09 -1.05105e-08 
0 0 0 
-4.18303e-09 1.44042e-07 7.8744e-09 
6.03296e-08 2.62392e-08 -1.2097e-07 
4.90371e-08 -6.03944e-08 8.31471e-08 
1.51203e-09 -5.48088e-10 1.04282e-09 
0 0 0 
0 0 0 
2.05011e-08 -1.37109e-07 -2.17788e-08 
0 0 0 
0 0 0 
4.3851e-09 -2.2983e-09 -2.17583e-09 
-1.42315e-08 -6.36817e-09 -7.66358e-09 
-4.57839e-08 1.33832e-07 1.80756e-08 
0 0 0 
0 0 0 
0 0 0 
-8.43407e-09 -2.63918e-09 4.99414e-09 
0 0 0 
-7.216e-08 -1.1977e-07 1.50774e-07 
2.17848e-07 -4.44484e-08 -7.4959e-08 
0 0 0 
-8.20363e-08 7.5851e-08 -2.99339e-08 
4.11728e-10 -6.78595e-11 -2.92382e-10 
0 0 0 
7.36448e-08 9.27418e-08 -2.42087e-08 
0 0 0 
6.27318e-08 6.34833e-08 -2.1525e-08 
2.07182e-09 -1.34953e-09 2.84872e-08 
4.67873e-09 6.2952e-09 -5.53205e-09 
0 0 0 
0 0 0 
0 0 0 
3.20231e-08 -1.86636e-08 2.07497e-08 
0 0 0 
0 0 0 
0 0 0 
6.54333e-09 1.5934e-08 3.07516e-10 
-9.86035e-09 -5.23195e-08 -2.1187e-08 
-6.43441e-08 -7.89601e-08 -8.0622e-08 
0 0 0 
0 0 0 
7.03718e-08 3.97369e-08 -1.29415e-08 
0 0 0 
0 0 0 
0 0 0 
-4.08655e-08 -1.39022e-08 -5.07113e-08 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
1.04413e-07 -1.00877e-07 -4.96022e-08 
0 0 0 
0 0 0 
0 0 0 
-5.79423e-09 1.98976e-09 6.3668e-08 
0 0 0 
0 0 0 
8.1954e-09 -2.71588e-08 1.27398e-08 
-5.38844e-09 5.61139e-10 -5.11625e-08 
0 0 0 
9.02892e-09 4.71135e-09 -3.98309e-08 
1.54572e-09 -9.9802e-10 -4.05494e-10 
3.60411e-10 -3.41968e-09 -3.14148e-09 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
5.11932e-08 -7.20172e-08 -1.02107e-07 
0 0 0 
-6.42326e-08 -1.32827e-08 -4.04888e-08 
0 0 0 
0 0 0 
9.25436e-08 8.48653e-08 1.27675e-07 
0 0 0 
1.0212e-07 6.84952e-08 1.57424e-07 
0 0 0 
-9.8285e-09 1.687e-08 -3.78363e-08 
-1.05869e-08 -5.65924e-08 -1.10569e-08 
-7.06099e-08 4.5374e-09 5.3858e-08 
0 0 0 
3.88081e-09 -2.78686e-08 -1.40451e-08 
0 0 0 
0 0 0 
4.05458e-09 5.07659e-09 6.84024e-09 
0 0 0 
0 0 0 
-1.15308e-07 -1.06143e-07 -6.31171e-08 
-1.06845e-08 3.32881e-08 -6.11799e-08 
0 0 0 
0 0 0 
-6.15328e-09 -3.501e-09 8.23124e-09 
-2.20532e-09 1.18556e-08 1.28913e-08 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-6.10557e-08 -1.30965e-07 1.22349e-07 
6.17116e-09 8.19919e-09 -1.33096e-09 
1.0675e-08 -1.19385e-08 6.9797e-09 
0 0 0 
6.29583e-08 -1.06275e-07 2.53067e-07 
0 0 0 
0 0 0 
5.27487e-09 4.86624e-09 5.83284e-09 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-8.24601e-08 -5.97113e-08 2.41094e-07 
2.31387e-09 1.15993e-08 2.9474e-08 
4.05568e-08 -5.07701e-09 1.07423e-08 
0 0 0 
0 0 0 
0 0 0 
-8.9052e-09 -4.53842e-10 6.16159e-09 
1.7341e-10 3.8296e-10 -2.94798e-10 
1.95466e-07 2.25681e-07 -8.8962e-08 
-8.55436e-09 -1.25431e-07 1.45078e-07 
-3.06497e-07 4.03092e-07 -1.11068e-07 
0 0 0 
0 0 0 
0 0 0 
6.33734e-10 -8.29985e-10 -2.75014e-10 
0 0 0 
-2.17037e-09 1.59615e-10 -1.39229e-09 
1.95859e-09 6.3451e-10 -1.0886e-09 
8.90242e-08 2.01639e-07 -5.3112e-08 
0 0 0 
-1.58395e-07 1.56281e-07 -3.67097e-08 
1.11924e-08 -2.42702e-08 -4.31477e-09 
1.79263e-08 -2.37936e-08 1.00622e-09 
0 0 0 
-9.27259e-08 -6.858e-08 4.94519e-08 
0 0 0 
-1.89729e-09 7.78571e-10 3.26847e-08 
4.42859e-08 7.75418e-08 -1.88932e-08 
0 0 0 
0 0 0 
1.64219e-07 8.63566e-08 -1.38143e-08 
0 0 0 
0 0 0 
5.71219e-08 2.374e-08 -8.45792e-09 
-5.38364e-08 3.01589e-08 -3.12236e-08 
0 0 0 
0 0 0 
1.27807e-07 1.46297e-07 6.63774e-08 
-8.14039e-08 4.49078e-08 -7.12122e-08 
1.81179e-08 -5.71754e-08 -5.05927e-08 
8.92627e-09 6.72409e-08 -1.78305e-08 
0 0 0 
0 0 0 
0 0 0 
-7.58978e-09 -3.25546e-08 -6.05315e-08 
0 0 0 
-3.7374e-08 2.69248e-09 1.72853e-08 
0 0 0 
-6.37853e-08 2.23967e-08 -4.64226e-08 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-2.20205e-08 1.21585e-08 -3.24128e-08 
0 0 0 
-4.94441e-10 2.77425e-09 1.07582e-09 
0 0 0 
-2.12442e-08 -4.15194e-08 1.67707e-08 
0 0 0 
0 0 0 
-1.45706e-07 8.33331e-08 -1.44859e-07 
0 0 0 
-1.45855e-07 3.60194e-08 -7.87189e-08 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
1.00676e-08 7.40943e-09 1.71766e-08 
0 0 0 
0 0 0 
4.29615e-08 2.22987e-08 3.09358e-08 
-3.53119e-09 1.66712e-08 -2.0256e-08 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
2.05288e-08 -2.40769e-08 2.84955e-08 
0 0 0 
0 0 0 
6.22991e-09 -3.2602e-08 -2.20819e-08 
-7.05567e-09 3.65782e-08 -2.5504e-08 
-2.67372e-07 -2.28767e-07 8.75444e-08 
9.3756e-09 -6.0885e-10 -1.16204e-08 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
1.47043e-07 1.91802e-07 -8.83115e-08 
4.41499e-08 -6.97428e-08 1.09642e-11 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
9.13634e-09 -3.68534e-09 -4.0853e-10 
0 0 0 
0 0 0 
-6.23119e-09 -5.71078e-09 -1.02875e-08 
4.32927e-08 5.12217e-08 -1.61479e-07 
-3.6189e-08 1.68207e-09 -3.02588e-09 
2.483e-08 4.34081e-08 -5.57064e-08 
0 0 0 
