# Time-averaged data for fix c2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
120100 100
1 6.3e-06 0 0
2 1.89e-05 0 0
3 3.15e-05 0 0
4 4.41e-05 0 0
5 5.67e-05 0 0
6 6.93e-05 0 0
7 8.19e-05 0 0
8 9.45e-05 0 0
9 0.0001071 0 0
10 0.0001197 0 0
11 0.0001323 0 0
12 0.0001449 0 0
13 0.0001575 0 0
14 0.0001701 0 0
15 0.0001827 0 0
16 0.0001953 51.4987 4.42486
17 0.0002079 29.8959 7.33559
18 0.0002205 9.02717 8.32422
19 0.0002331 6.61214 9.13346
20 0.0002457 5.59719 9.89453
21 0.0002583 4.95624 10.6393
22 0.0002709 5.08555 11.4799
23 0.0002835 5.25402 12.431
24 0.0002961 5.51146 13.5193
25 0.0003087 6.3408 14.8802
26 0.0003213 7.48484 16.6204
27 0.0003339 9.47545 18.9996
28 0.0003465 11.7197 22.1686
29 0.0003591 11.2065 25.4232
30 0.0003717 11.2736 28.931
31 0.0003843 12.1313 32.9659
32 0.0003969 11.2576 36.9598
33 0.0004095 7.80042 39.9056
34 0.0004221 6.81091 42.6385
35 0.0004347 6.37097 45.3497
36 0.0004473 6.30914 48.1924
37 0.0004599 6.65553 51.3626
38 0.0004725 7.20811 54.9867
39 0.0004851 7.58484 59.0063
40 0.0004977 8.42752 63.7075
41 0.0005103 8.97524 68.9709
42 0.0005229 9.16951 74.617
43 0.0005355 8.9213 80.3783
44 0.0005481 8.66717 86.2418
45 0.0005607 8.2844 92.1071
46 0.0005733 7.89911 97.9538
47 0.0005859 7.5313 103.776
48 0.0005985 6.92946 109.366
49 0.0006111 6.70909 115.008
50 0.0006237 6.76507 120.934
51 0.0006363 6.91604 127.24
52 0.0006489 6.89638 133.779
53 0.0006615 7.27788 140.951
54 0.0006741 7.6944 148.825
55 0.0006867 7.59303 156.888
56 0.0006993 7.6704 165.335
57 0.0007119 7.33676 173.709
58 0.0007245 7.26376 182.295
59 0.0007371 6.97014 190.823
60 0.0007497 6.79772 199.427
61 0.0007623 6.66066 208.143
62 0.0007749 6.49888 216.931
63 0.0007875 6.27884 225.7
64 0.0008001 6.34341 234.844
65 0.0008127 6.44154 244.425
66 0.0008253 6.41706 254.268
67 0.0008379 6.58905 264.686
68 0.0008505 6.60705 275.448
69 0.0008631 6.62982 286.57
70 0.0008757 6.49032 297.778
71 0.0008883 6.36586 309.09
72 0.0009009 6.22109 320.46
73 0.0009135 6.02919 331.79
74 0.0009261 5.94478 343.272
75 0.0009387 5.89742 354.974
76 0.0009513 5.76475 366.722
77 0.0009639 5.77451 378.804
78 0.0009765 5.77782 391.211
79 0.0009891 5.79085 403.969
80 0.0010017 5.73326 416.924
81 0.0010143 5.69079 430.108
82 0.0010269 5.73672 443.731
83 0.0010395 5.65262 457.486
84 0.0010521 5.61668 471.486
85 0.0010647 5.49399 485.511
86 0.0010773 5.39565 499.613
87 0.0010899 5.27347 513.719
88 0.0011025 5.20947 527.979
89 0.0011151 5.17135 542.459
90 0.0011277 5.09407 557.048
91 0.0011403 5.07483 571.907
92 0.0011529 5.10091 587.175
93 0.0011655 5.04035 602.594
94 0.0011781 4.9679 618.121
95 0.0011907 4.96604 633.976
96 0.0012033 4.90386 649.965
97 0.0012159 4.84582 666.098
98 0.0012285 4.79837 682.406
99 0.0012411 4.74826 698.876
100 0.0012537 4.68361 715.454
