t,delta,force,overlap,vel
2e-11,6.99762e-07,0,-6.4762e-08,-11.9
4e-11,6.99524e-07,0,-6.4524e-08,-11.9
6e-11,6.99286e-07,0,-6.4286e-08,-11.9
8e-11,6.99048e-07,0,-6.4048e-08,-11.9
1e-10,6.9881e-07,0,-6.38100000000001e-08,-11.9
1.2e-10,6.98572e-07,0,-6.35720000000001e-08,-11.9
1.4e-10,6.98334e-07,0,-6.33340000000001e-08,-11.9
1.6e-10,6.98096e-07,0,-6.30960000000001e-08,-11.9
1.8e-10,6.97858e-07,0,-6.28580000000001e-08,-11.9
2e-10,6.9762e-07,0,-6.26200000000001e-08,-11.9
2.2e-10,6.97382e-07,0,-6.23820000000001e-08,-11.9
2.4e-10,6.97144e-07,0,-6.21440000000001e-08,-11.9
2.6e-10,6.96906e-07,0,-6.19060000000001e-08,-11.9
2.8e-10,6.96668e-07,0,-6.1668e-08,-11.9
3e-10,6.9643e-07,0,-6.143e-08,-11.9
3.2e-10,6.96192e-07,0,-6.1192e-08,-11.9
3.4e-10,6.95954e-07,0,-6.0954e-08,-11.9
3.6e-10,6.95716e-07,0,-6.0716e-08,-11.9
3.8e-10,6.95478e-07,0,-6.0478e-08,-11.9
4e-10,6.9524e-07,0,-6.024e-08,-11.9
4.2e-10,6.95002e-07,0,-6.0002e-08,-11.9
4.4e-10,6.94764e-07,0,-5.9764e-08,-11.9
4.6e-10,6.94526e-07,0,-5.9526e-08,-11.9
4.8e-10,6.94288e-07,0,-5.9288e-08,-11.9
5e-10,6.9405e-07,0,-5.90500000000001e-08,-11.9
5.2e-10,6.93812e-07,0,-5.88120000000001e-08,-11.9
5.4e-10,6.93574e-07,0,-5.85740000000001e-08,-11.9
5.6e-10,6.93336e-07,0,-5.83360000000001e-08,-11.9
5.8e-10,6.93098e-07,0,-5.80980000000001e-08,-11.9
6e-10,6.9286e-07,0,-5.78600000000001e-08,-11.9
6.2e-10,6.92622e-07,0,-5.76220000000001e-08,-11.9
6.4e-10,6.92384e-07,0,-5.73840000000001e-08,-11.9
6.6e-10,6.92146e-07,0,-5.71460000000001e-08,-11.9
6.8e-10,6.91908e-07,0,-5.6908e-08,-11.9
7e-10,6.9167e-07,0,-5.667e-08,-11.9
7.2e-10,6.91432e-07,0,-5.6432e-08,-11.9
7.4e-10,6.91194e-07,0,-5.6194e-08,-11.9
7.6e-10,6.90956e-07,0,-5.5956e-08,-11.9
7.8e-10,6.90718e-07,0,-5.5718e-08,-11.9
8e-10,6.9048e-07,0,-5.548e-08,-11.9
8.2e-10,6.90242e-07,0,-5.5242e-08,-11.9
8.4e-10,6.90004e-07,0,-5.5004e-08,-11.9
8.6e-10,6.89766e-07,0,-5.4766e-08,-11.9
8.8e-10,6.89528e-07,0,-5.4528e-08,-11.9
9e-10,6.8929e-07,0,-5.429e-08,-11.9
9.2e-10,6.89052e-07,0,-5.40520000000001e-08,-11.9
9.4e-10,6.88814e-07,0,-5.38140000000001e-08,-11.9
9.6e-10,6.88576e-07,0,-5.35760000000001e-08,-11.9
9.8e-10,6.88338e-07,0,-5.33380000000001e-08,-11.9
1e-09,6.881e-07,0,-5.31000000000001e-08,-11.9
1.02e-09,6.87862e-07,0,-5.28620000000001e-08,-11.9
1.04e-09,6.87624e-07,0,-5.26240000000001e-08,-11.9
1.06e-09,6.87386e-07,0,-5.23860000000001e-08,-11.9
1.08e-09,6.87148e-07,0,-5.21480000000001e-08,-11.9
1.1e-09,6.8691e-07,0,-5.191e-08,-11.9
1.12e-09,6.86672e-07,0,-5.1672e-08,-11.9
1.14e-09,6.86434e-07,0,-5.1434e-08,-11.9
1.16e-09,6.86196e-07,0,-5.1196e-08,-11.9
1.18e-09,6.85958e-07,0,-5.0958e-08,-11.9
1.2e-09,6.8572e-07,0,-5.072e-08,-11.9
1.22e-09,6.85482e-07,0,-5.0482e-08,-11.9
1.24e-09,6.85244e-07,0,-5.0244e-08,-11.9
1.26e-09,6.85006e-07,0,-5.0006e-08,-11.9
1.28e-09,6.84768e-07,0,-4.9768e-08,-11.9
1.3e-09,6.8453e-07,0,-4.953e-08,-11.9
1.32e-09,6.84292e-07,0,-4.92920000000001e-08,-11.9
1.34e-09,6.84054e-07,0,-4.90540000000001e-08,-11.9
1.36e-09,6.83816e-07,0,-4.88160000000001e-08,-11.9
