t,delta,force,overlap,vel
2e-11,6.9996e-07,0,-6.49600000000001e-08,-2
4e-11,6.9992e-07,0,-6.492e-08,-2
6e-11,6.9988e-07,0,-6.48800000000001e-08,-2
8e-11,6.9984e-07,0,-6.484e-08,-2
1e-10,6.998e-07,0,-6.48e-08,-2
1.2e-10,6.9976e-07,0,-6.47600000000001e-08,-2
1.4e-10,6.9972e-07,0,-6.472e-08,-2
1.6e-10,6.9968e-07,0,-6.46800000000001e-08,-2
1.8e-10,6.9964e-07,0,-6.464e-08,-2
2e-10,6.996e-07,0,-6.46000000000001e-08,-2
2.2e-10,6.99559999999999e-07,0,-6.45599999999991e-08,-2
2.4e-10,6.99519999999999e-07,0,-6.4519999999999e-08,-2
2.6e-10,6.99479999999999e-07,0,-6.4479999999999e-08,-2
2.8e-10,6.99439999999999e-07,0,-6.44399999999991e-08,-2
3e-10,6.99399999999999e-07,0,-6.4399999999999e-08,-2
3.2e-10,6.99359999999999e-07,0,-6.43599999999991e-08,-2
3.4e-10,6.99319999999999e-07,0,-6.4319999999999e-08,-2
3.6e-10,6.99279999999999e-07,0,-6.42799999999991e-08,-2
3.8e-10,6.99239999999999e-07,0,-6.4239999999999e-08,-2
4e-10,6.99199999999999e-07,0,-6.4199999999999e-08,-2
4.2e-10,6.99159999999999e-07,0,-6.41599999999991e-08,-2
4.4e-10,6.99119999999999e-07,0,-6.4119999999999e-08,-2
4.6e-10,6.99079999999999e-07,0,-6.40799999999991e-08,-2
4.8e-10,6.99039999999999e-07,0,-6.4039999999999e-08,-2
5e-10,6.98999999999999e-07,0,-6.39999999999991e-08,-2
5.2e-10,6.98959999999999e-07,0,-6.3959999999999e-08,-2
5.4e-10,6.98919999999999e-07,0,-6.3919999999999e-08,-2
5.6e-10,6.98879999999999e-07,0,-6.38799999999991e-08,-2
5.8e-10,6.98839999999999e-07,0,-6.3839999999999e-08,-2
6e-10,6.98799999999999e-07,0,-6.37999999999991e-08,-2
6.2e-10,6.98759999999999e-07,0,-6.3759999999999e-08,-2
6.4e-10,6.98719999999999e-07,0,-6.37199999999991e-08,-2
6.6e-10,6.98679999999998e-07,0,-6.36799999999981e-08,-2
6.8e-10,6.98639999999998e-07,0,-6.3639999999998e-08,-2
7e-10,6.98599999999998e-07,0,-6.3599999999998e-08,-2
7.2e-10,6.98559999999998e-07,0,-6.35599999999981e-08,-2
7.4e-10,6.98519999999998e-07,0,-6.3519999999998e-08,-2
7.6e-10,6.98479999999998e-07,0,-6.34799999999981e-08,-2
7.8e-10,6.98439999999998e-07,0,-6.3439999999998e-08,-2
8e-10,6.98399999999998e-07,0,-6.33999999999981e-08,-2
8.2e-10,6.98359999999998e-07,0,-6.3359999999998e-08,-2
8.4e-10,6.98319999999998e-07,0,-6.3319999999998e-08,-2
8.6e-10,6.98279999999998e-07,0,-6.32799999999981e-08,-2
8.8e-10,6.98239999999998e-07,0,-6.3239999999998e-08,-2
9e-10,6.98199999999998e-07,0,-6.31999999999981e-08,-2
9.2e-10,6.98159999999998e-07,0,-6.3159999999998e-08,-2
9.4e-10,6.98119999999998e-07,0,-6.31199999999981e-08,-2
9.6e-10,6.98079999999998e-07,0,-6.3079999999998e-08,-2
9.8e-10,6.98039999999998e-07,0,-6.3039999999998e-08,-2
1e-09,6.97999999999998e-07,0,-6.29999999999981e-08,-2
1.02e-09,6.97959999999998e-07,0,-6.2959999999998e-08,-2
1.04e-09,6.97919999999998e-07,0,-6.29199999999981e-08,-2
1.06e-09,6.97879999999998e-07,0,-6.2879999999998e-08,-2
1.08e-09,6.97839999999998e-07,0,-6.28399999999981e-08,-2
1.1e-09,6.97799999999997e-07,0,-6.27999999999971e-08,-2
1.12e-09,6.97759999999997e-07,0,-6.2759999999997e-08,-2
1.14e-09,6.97719999999997e-07,0,-6.2719999999997e-08,-2
1.16e-09,6.97679999999997e-07,0,-6.26799999999971e-08,-2
1.18e-09,6.97639999999997e-07,0,-6.2639999999997e-08,-2
1.2e-09,6.97599999999997e-07,0,-6.25999999999971e-08,-2
1.22e-09,6.97559999999997e-07,0,-6.2559999999997e-08,-2
1.24e-09,6.97519999999997e-07,0,-6.25199999999971e-08,-2
1.26e-09,6.97479999999997e-07,0,-6.2479999999997e-08,-2
1.28e-09,6.97439999999997e-07,0,-6.2439999999997e-08,-2
1.3e-09,6.97399999999997e-07,0,-6.23999999999971e-08,-2
1.32e-09,6.97359999999997e-07,0,-6.2359999999997e-08,-2
