t,delta,force,overlap,vel
2e-11,6.9798e-07,0,-6.29800000000001e-08,-101
4e-11,6.9596e-07,0,-6.09600000000001e-08,-101
6e-11,6.9394e-07,0,-5.894e-08,-101
8e-11,6.9192e-07,0,-5.69200000000001e-08,-101
1e-10,6.899e-07,0,-5.49e-08,-101
1.2e-10,6.8788e-07,0,-5.288e-08,-101
1.4e-10,6.8586e-07,0,-5.08600000000001e-08,-101
1.6e-10,6.8384e-07,0,-4.884e-08,-101
1.8e-10,6.8182e-07,0,-4.682e-08,-101
2e-10,6.798e-07,0,-4.48000000000001e-08,-101
2.2e-10,6.7778e-07,0,-4.278e-08,-101
2.4e-10,6.7576e-07,0,-4.07600000000001e-08,-101
2.6e-10,6.7374e-07,0,-3.87400000000001e-08,-101
2.8e-10,6.71720000000001e-07,0,-3.67200000000011e-08,-101
3e-10,6.69700000000001e-07,0,-3.4700000000001e-08,-101
3.2e-10,6.67680000000001e-07,0,-3.26800000000011e-08,-101
3.4e-10,6.65660000000001e-07,0,-3.06600000000011e-08,-101
3.6e-10,6.63640000000001e-07,0,-2.8640000000001e-08,-101
3.8e-10,6.61620000000001e-07,0,-2.66200000000011e-08,-101
4e-10,6.59600000000001e-07,0,-2.4600000000001e-08,-101
4.2e-10,6.57580000000001e-07,0,-2.2580000000001e-08,-101
4.4e-10,6.55560000000001e-07,0,-2.05600000000011e-08,-101
4.6e-10,6.53540000000001e-07,0,-1.8540000000001e-08,-101
4.8e-10,6.51520000000001e-07,0,-1.65200000000011e-08,-101
5e-10,6.49500000000001e-07,0,-1.45000000000011e-08,-101
5.2e-10,6.47480000000001e-07,0,-1.2480000000001e-08,-101
5.4e-10,6.45460000000001e-07,0,-1.04600000000011e-08,-101
5.6e-10,6.43440000000001e-07,0,-8.44000000000099e-09,-101
5.8e-10,6.41420000000001e-07,0,-6.42000000000103e-09,-101
6e-10,6.39400000000001e-07,0,-4.40000000000107e-09,-101
6.2e-10,6.37380000000001e-07,0,-2.380000000001e-09,-101
6.4e-10,6.35360000000001e-07,0,-3.60000000001043e-10,-101
6.6e-10,6.33340000000001e-07,2.52503566128908e-06,1.65999999999892e-09,-100.977053821371
6.8e-10,6.31320917847146e-07,2.66151319741152e-06,3.67908215285397e-09,-100.929921228985
7e-10,6.29302803150842e-07,2.79055540698227e-06,5.69719684915794e-09,-100.880375734632
7.2e-10,6.27285702817761e-07,2.9150385026951e-06,7.71429718223896e-09,-100.828526337396
7.4e-10,6.25269662097346e-07,3.03669694279152e-06,9.73033790265392e-09,-100.774440137038
7.6e-10,6.2325472521228e-07,3.15665216420743e-06,1.17452747877199e-08,-100.718158280467
7.8e-10,6.21240935766127e-07,3.27566602235911e-06,1.37590642338729e-08,-100.659704800236
8e-10,6.1922833702027e-07,3.39427477505778e-06,1.57716629797299e-08,-100.599091932334
8.2e-10,6.17216972088834e-07,3.51286665414021e-06,1.7783027911166e-08,-100.536323511482
8.4e-10,6.15206884079811e-07,3.63172910655263e-06,1.9793115920189e-08,-100.471397232193
8.6e-10,6.13198116199546e-07,3.75107719681004e-06,2.1801883800454e-08,-100.404306222422
8.8e-10,6.11190711830914e-07,3.87107465877442e-06,2.3809288169086e-08,-100.335040167807
